Genome,Condition
287.4545,Resistant
1418241.3,Susceptible
287.16955,Resistant
287.9506,Resistant
287.19372,Susceptible
287.3118,Susceptible
287.12504,Resistant
287.2979,Resistant
287.7477,Susceptible
287.12474,Susceptible
287.966,Resistant
287.6447,Susceptible
287.19383,Susceptible
287.31382,Resistant
287.19566,Susceptible
287.12818,Susceptible
287.14474,Susceptible
287.9824,Susceptible
287.27174,Susceptible
287.17638,Resistant
287.7949,Resistant
287.27236,Susceptible
287.8888,Susceptible
287.31611,Susceptible
287.19489,Susceptible
287.9295,Susceptible
287.28483,Susceptible
287.433,Susceptible
287.27633,Resistant
287.34354,Resistant
287.6327,Resistant
287.12465,Susceptible
287.17519,Resistant
287.34152,Resistant
287.33613,Resistant
287.18272,Resistant
287.29642,Susceptible
287.2519,Susceptible
287.32582,Susceptible
287.113,Resistant
287.9515,Susceptible
287.4105,Susceptible
287.4316,Susceptible
287.17028,Susceptible
287.4375,Susceptible
287.19228,Susceptible
287.7777,Susceptible
287.33698,Resistant
287.1961,Resistant
287.1769,Resistant
287.8527,Resistant
287.8993,Resistant
287.34033,Susceptible
1163395.5,Susceptible
287.4328,Susceptible
287.34245,Resistant
287.34027,Susceptible
287.3358,Susceptible
287.1184,Resistant
287.4072,Susceptible
287.32993,Susceptible
287.1004,Susceptible
287.16576,Resistant
287.27145,Susceptible
287.7814,Susceptible
287.14832,Resistant
287.9582,Resistant
287.7775,Susceptible
287.9059,Susceptible
287.17054,Susceptible
287.29421,Susceptible
287.24703,Resistant
287.29671,Resistant
287.12519,Resistant
287.6433,Resistant
287.11159,Susceptible
1447535.3,Susceptible
287.18439,Resistant
287.33686,Resistant
287.7817,Susceptible
287.5707,Resistant
287.7099,Resistant
287.4547,Susceptible
287.4301,Susceptible
287.25867,Resistant
287.19365,Susceptible
287.19488,Susceptible
287.26092,Susceptible
287.17658,Susceptible
287.18351,Susceptible
287.28463,Resistant
287.9318,Resistant
287.6803,Resistant
287.9209,Susceptible
287.33654,Susceptible
287.27692,Resistant
287.14454,Resistant
287.575,Resistant
287.12768,Resistant
287.17021,Susceptible
287.14422,Susceptible
287.16947,Resistant
287.1265,Resistant
287.427,Susceptible
287.4407,Susceptible
287.19497,Resistant
287.31457,Resistant
287.27122,Susceptible
287.17967,Susceptible
287.3741,Susceptible
287.7435,Susceptible
287.14433,Resistant
287.16926,Susceptible
287.7683,Resistant
287.11993,Susceptible
287.17957,Resistant
287.28364,Resistant
287.17559,Resistant
287.25782,Resistant
287.30249,Resistant
287.19203,Susceptible
287.24578,Susceptible
287.7462,Susceptible
287.17001,Resistant
287.3167,Susceptible
287.24688,Susceptible
287.6868,Susceptible
287.6898,Resistant
287.14406,Resistant
287.8358,Susceptible
287.28323,Susceptible
287.2964,Resistant
287.12114,Susceptible
287.17936,Susceptible
287.33632,Resistant
287.34131,Susceptible
287.34028,Resistant
287.31616,Resistant
287.1193,Resistant
287.7799,Susceptible
287.33016,Resistant
287.28388,Susceptible
287.9304,Susceptible
287.17013,Resistant
287.6927,Susceptible
287.15239,Resistant
287.6329,Resistant
287.29404,Resistant
287.4287,Resistant
287.7321,Susceptible
287.17552,Resistant
287.24761,Susceptible
287.28566,Susceptible
287.931,Susceptible
287.7679,Resistant
287.7606,Susceptible
287.17892,Susceptible
287.14399,Resistant
287.17891,Susceptible
287.12564,Susceptible
287.17015,Susceptible
287.5742,Resistant
287.39,Resistant
287.7277,Resistant
287.27663,Susceptible
287.33918,Susceptible
287.30283,Resistant
287.1924,Susceptible
287.9315,Susceptible
287.7445,Susceptible
287.29724,Resistant
287.338,Susceptible
287.7923,Susceptible
287.25177,Resistant
287.18378,Resistant
287.1104,Resistant
287.14069,Resistant
1402534.3,Susceptible
287.9094,Susceptible
287.7775,Resistant
287.8971,Susceptible
287.4439,Susceptible
287.27276,Susceptible
287.4413,Susceptible
287.786,Resistant
287.27029,Susceptible
287.6438,Susceptible
287.4428,Susceptible
287.27211,Resistant
287.29726,Resistant
287.9325,Susceptible
287.19682,Susceptible
287.7542,Susceptible
287.16889,Resistant
287.33658,Resistant
287.13711,Susceptible
287.33011,Resistant
287.27206,Susceptible
287.25732,Susceptible
287.13728,Susceptible
287.26549,Susceptible
287.18109,Resistant
287.25907,Resistant
287.34356,Resistant
287.19626,Susceptible
287.25795,Susceptible
287.7603,Resistant
287.15874,Susceptible
287.1039,Susceptible
287.26059,Susceptible
287.9544,Susceptible
287.1864,Susceptible
287.15862,Resistant
287.8963,Susceptible
287.2831,Resistant
287.32597,Resistant
287.4043,Resistant
287.19683,Susceptible
287.34018,Resistant
287.25788,Resistant
287.12597,Resistant
287.25207,Susceptible
287.1688,Susceptible
287.31176,Resistant
287.27309,Susceptible
287.12622,Resistant
287.9266,Resistant
287.9468,Resistant
287.8544,Resistant
287.9275,Susceptible
287.7069,Susceptible
287.9454,Resistant
287.8525,Resistant
287.7399,Susceptible
287.26395,Susceptible
287.26068,Susceptible
287.1271,Resistant
287.179,Resistant
287.18582,Susceptible
287.3343,Resistant
287.17623,Susceptible
287.1783,Susceptible
287.31447,Resistant
287.10411,Susceptible
287.32561,Susceptible
287.15741,Susceptible
287.19455,Susceptible
287.7327,Susceptible
287.10639,Susceptible
287.27104,Resistant
287.11745,Susceptible
287.10021,Susceptible
287.11894,Resistant
287.31159,Resistant
287.18004,Susceptible
287.7095,Resistant
287.6889,Susceptible
287.14721,Susceptible
287.6486,Susceptible
287.15902,Resistant
287.28398,Resistant
287.27054,Susceptible
287.16836,Resistant
287.18433,Resistant
287.6943,Susceptible
287.19539,Susceptible
287.33799,Resistant
287.3364,Resistant
287.7939,Susceptible
287.11895,Resistant
287.756,Susceptible
287.6877,Susceptible
287.17673,Susceptible
287.34253,Resistant
287.18416,Resistant
287.24549,Resistant
287.25939,Susceptible
287.12697,Susceptible
208964.397,Susceptible
287.9215,Susceptible
287.1126,Resistant
287.27315,Resistant
287.11905,Susceptible
287.34073,Susceptible
287.29427,Susceptible
287.11596,Susceptible
287.19368,Resistant
287.25263,Resistant
287.24592,Susceptible
287.9477,Resistant
287.27275,Susceptible
287.1006,Susceptible
287.13337,Susceptible
287.26033,Resistant
287.12008,Resistant
287.12092,Susceptible
287.31424,Resistant
287.33913,Susceptible
287.32602,Susceptible
287.903,Resistant
287.31726,Resistant
287.2712,Susceptible
287.19644,Susceptible
287.26483,Resistant
287.25754,Susceptible
287.6399,Susceptible
287.12632,Susceptible
287.2941,Resistant
287.7789,Susceptible
287.34337,Susceptible
287.11954,Susceptible
287.8512,Resistant
287.788,Susceptible
287.14754,Susceptible
287.34052,Susceptible
287.19436,Susceptible
287.9297,Susceptible
287.6826,Susceptible
287.29408,Resistant
287.33412,Resistant
287.9931,Resistant
287.25192,Susceptible
287.33624,Resistant
287.31214,Susceptible
287.7008,Susceptible
287.19161,Resistant
287.12778,Resistant
287.19443,Susceptible
287.747,Susceptible
287.15864,Resistant
287.25252,Susceptible
287.34389,Resistant
287.12112,Susceptible
287.27248,Susceptible
287.1181,Resistant
287.24758,Resistant
287.34357,Susceptible
287.6519,Resistant
287.18645,Susceptible
287.1118,Susceptible
287.9569,Resistant
287.9409,Susceptible
287.25242,Susceptible
287.7403,Susceptible
287.1183,Resistant
287.7748,Resistant
287.18276,Resistant
652611.52,Susceptible
287.27296,Resistant
287.6798,Susceptible
287.1003,Susceptible
287.18132,Susceptible
287.28391,Resistant
287.9129,Susceptible
287.9148,Susceptible
287.907,Resistant
287.31395,Resistant
287.7351,Susceptible
287.33568,Susceptible
287.29706,Susceptible
287.9383,Resistant
287.27107,Susceptible
287.17922,Susceptible
287.1841,Susceptible
287.7772,Resistant
287.10437,Resistant
287.33394,Susceptible
287.1952,Resistant
287.988,Susceptible
287.34095,Susceptible
287.29417,Resistant
287.12547,Resistant
287.4441,Susceptible
287.29676,Resistant
287.4405,Susceptible
1402544.3,Resistant
287.34324,Resistant
287.12845,Resistant
287.17,Susceptible
287.30229,Susceptible
287.32565,Susceptible
287.7019,Resistant
287.905,Susceptible
287.34246,Resistant
287.9474,Resistant
287.27663,Susceptible
287.1845,Resistant
287.9607,Resistant
287.14281,Susceptible
287.7675,Susceptible
287.31606,Susceptible
287.12443,Susceptible
287.13844,Susceptible
287.18037,Susceptible
287.27696,Resistant
287.11907,Resistant
287.6396,Resistant
287.12719,Susceptible
287.26424,Resistant
287.12016,Susceptible
287.933,Susceptible
287.12749,Resistant
287.18085,Resistant
287.17635,Resistant
287.26512,Resistant
287.7841,Susceptible
287.29728,Resistant
287.27666,Susceptible
287.8379,Susceptible
287.9281,Susceptible
287.19192,Susceptible
287.14778,Resistant
287.7455,Susceptible
287.57,Susceptible
287.11146,Susceptible
287.2943,Susceptible
287.19511,Susceptible
287.8929,Susceptible
287.34053,Susceptible
287.10047,Susceptible
287.7081,Resistant
287.33396,Susceptible
287.26046,Susceptible
287.19506,Susceptible
287.29785,Susceptible
287.1087,Resistant
287.34408,Susceptible
287.29756,Resistant
287.19168,Resistant
287.18307,Susceptible
287.29821,Resistant
287.11598,Susceptible
287.12771,Resistant
287.12538,Susceptible
287.31177,Susceptible
287.27711,Susceptible
287.1004,Resistant
287.11897,Resistant
287.8533,Resistant
287.13262,Susceptible
287.14499,Resistant
287.2835,Resistant
287.32498,Resistant
287.25723,Susceptible
287.24746,Susceptible
287.34358,Susceptible
287.11154,Susceptible
287.34025,Susceptible
287.33387,Susceptible
287.5703,Susceptible
287.644,Susceptible
287.32499,Resistant
287.26413,Susceptible
287.34271,Resistant
287.24728,Resistant
287.34302,Resistant
287.17613,Susceptible
287.11111,Resistant
287.29767,Resistant
287.16904,Susceptible
287.33603,Susceptible
287.16961,Resistant
287.7615,Susceptible
208964.932,Susceptible
287.12695,Susceptible
287.6994,Susceptible
287.12791,Resistant
287.906,Susceptible
287.3392,Susceptible
287.25764,Susceptible
1402512.3,Susceptible
287.1796,Resistant
287.18647,Resistant
287.9611,Susceptible
287.18025,Resistant
287.10422,Susceptible
287.19482,Resistant
287.19437,Susceptible
287.15237,Susceptible
287.33328,Resistant
287.19456,Susceptible
287.7795,Susceptible
287.31191,Susceptible
287.29822,Resistant
287.9058,Resistant
287.8491,Resistant
287.9331,Susceptible
287.4369,Susceptible
287.29436,Susceptible
287.12453,Susceptible
287.1135,Resistant
287.17845,Resistant
287.28358,Resistant
287.5705,Resistant
287.9487,Resistant
287.10631,Susceptible
287.8522,Resistant
287.6821,Resistant
287.2573,Susceptible
287.6886,Susceptible
287.7912,Susceptible
287.12726,Resistant
287.16589,Susceptible
287.24738,Susceptible
287.29742,Resistant
287.8042,Resistant
287.18305,Resistant
287.1803,Susceptible
287.948,Susceptible
287.33586,Resistant
287.247,Susceptible
287.9065,Susceptible
287.922,Susceptible
287.4062,Resistant
287.7689,Susceptible
287.30253,Susceptible
287.1472,Resistant
287.7513,Susceptible
287.27268,Resistant
287.12556,Resistant
287.30221,Resistant
287.27093,Resistant
287.11991,Susceptible
287.12118,Susceptible
287.926,Susceptible
287.6976,Susceptible
287.7783,Resistant
287.26073,Resistant
287.31591,Resistant
287.10008,Susceptible
287.12708,Resistant
287.19666,Susceptible
287.12657,Susceptible
287.9279,Susceptible
287.18012,Resistant
287.12753,Resistant
287.9089,Resistant
287.697,Resistant
287.119,Susceptible
287.19621,Susceptible
287.15737,Susceptible
287.34016,Susceptible
287.781,Susceptible
287.12575,Resistant
287.9298,Susceptible
287.27632,Resistant
287.11758,Resistant
287.8545,Resistant
287.34134,Susceptible
287.12572,Resistant
287.17641,Resistant
287.6405,Resistant
287.12646,Resistant
287.9927,Resistant
287.24766,Resistant
287.9608,Resistant
1418237.3,Susceptible
287.29791,Resistant
287.31656,Resistant
287.9574,Resistant
287.17489,Susceptible
287.17042,Resistant
287.31676,Resistant
287.11587,Susceptible
287.10037,Resistant
287.9798,Susceptible
287.9808,Susceptible
287.96,Susceptible
287.19213,Susceptible
287.16883,Susceptible
287.12625,Susceptible
287.8002,Susceptible
287.18565,Resistant
287.27192,Susceptible
287.7272,Susceptible
287.15909,Susceptible
287.19656,Susceptible
287.6348,Susceptible
287.31464,Resistant
287.34154,Resistant
287.26403,Resistant
287.29757,Susceptible
287.33706,Susceptible
1163395.6,Susceptible
287.32512,Resistant
287.11982,Resistant
287.7282,Susceptible
287.25783,Susceptible
287.24699,Resistant
287.27304,Resistant
287.9427,Resistant
287.33656,Susceptible
287.14799,Resistant
287.913,Resistant
287.6474,Resistant
287.16981,Susceptible
287.786,Resistant
287.17483,Susceptible
287.5678,Resistant
287.26491,Susceptible
287.31132,Susceptible
287.27742,Resistant
287.7472,Susceptible
287.16547,Resistant
287.3138,Susceptible
287.19612,Resistant
287.13306,Resistant
287.17905,Resistant
287.10575,Susceptible
287.409,Susceptible
287.13298,Resistant
287.31155,Susceptible
287.6904,Resistant
287.19533,Susceptible
287.29627,Resistant
287.1808,Resistant
287.34286,Susceptible
287.33376,Resistant
287.2593,Susceptible
287.15867,Resistant
287.7693,Susceptible
287.27216,Susceptible
287.4443,Susceptible
287.19635,Susceptible
287.5778,Resistant
287.9163,Resistant
287.16934,Susceptible
287.9223,Susceptible
287.3249,Resistant
287.25215,Resistant
287.19191,Resistant
287.8031,Resistant
287.9247,Resistant
287.16943,Susceptible
287.11181,Resistant
287.7639,Susceptible
287.29429,Susceptible
287.34347,Resistant
287.26042,Susceptible
287.29622,Susceptible
287.19442,Resistant
287.10054,Susceptible
287.11116,Resistant
287.31355,Susceptible
287.14463,Susceptible
287.25906,Resistant
287.8894,Resistant
287.24709,Resistant
287.31386,Resistant
287.24596,Resistant
287.10004,Resistant
287.2969,Susceptible
287.4059,Susceptible
287.17529,Susceptible
287.9083,Susceptible
287.7844,Susceptible
287.2453,Susceptible
287.27695,Susceptible
287.8959,Resistant
287.6864,Susceptible
287.8039,Resistant
287.9091,Susceptible
287.11106,Susceptible
287.1655,Susceptible
287.19698,Resistant
287.31378,Resistant
287.27128,Susceptible
287.26488,Resistant
287.3427,Resistant
287.6832,Susceptible
287.27758,Susceptible
287.33612,Susceptible
287.12566,Resistant
287.31425,Resistant
287.9288,Susceptible
287.10627,Resistant
287.28486,Susceptible
287.7489,Susceptible
287.1075,Susceptible
287.11756,Resistant
287.15898,Susceptible
287.31174,Resistant
287.24577,Susceptible
287.1253,Resistant
287.9017,Resistant
287.175,Resistant
287.24743,Susceptible
287.27791,Resistant
287.7994,Resistant
287.27241,Susceptible
287.17952,Susceptible
287.16908,Susceptible
287.9863,Susceptible
287.14759,Resistant
287.6848,Susceptible
287.17053,Susceptible
287.26537,Resistant
287.32495,Resistant
287.12754,Resistant
287.7769,Resistant
287.29773,Resistant
287.25226,Resistant
287.5759,Susceptible
287.17622,Susceptible
287.15901,Resistant
287.1276,Susceptible
287.4053,Susceptible
287.18284,Resistant
287.26035,Resistant
287.8495,Susceptible
287.7685,Susceptible
287.14723,Resistant
287.5772,Susceptible
287.6466,Resistant
287.11066,Susceptible
287.32978,Susceptible
287.1838,Resistant
287.29708,Resistant
287.258,Susceptible
287.16814,Susceptible
287.25861,Susceptible
287.17927,Susceptible
287.4274,Resistant
287.907,Susceptible
287.25893,Resistant
287.14821,Resistant
287.31636,Resistant
287.30307,Resistant
287.18537,Resistant
287.7831,Resistant
287.9234,Susceptible
287.803,Susceptible
287.19446,Susceptible
287.953,Susceptible
287.15875,Resistant
287.12551,Resistant
287.9069,Susceptible
287.4088,Resistant
287.33723,Susceptible
287.18291,Susceptible
287.1273,Resistant
287.18002,Susceptible
287.12007,Resistant
287.12745,Resistant
287.17822,Susceptible
287.19425,Susceptible
287.12602,Resistant
287.27228,Susceptible
1402578.3,Susceptible
287.7904,Resistant
287.16956,Susceptible
287.1008,Susceptible
287.5758,Susceptible
287.31638,Resistant
652611.64,Susceptible
287.28342,Resistant
287.18296,Susceptible
287.794,Susceptible
287.13336,Resistant
287.6387,Resistant
287.9373,Susceptible
287.12023,Susceptible
287.12028,Resistant
287.18437,Susceptible
287.29444,Resistant
287.8519,Resistant
287.34261,Resistant
287.18482,Susceptible
287.749,Susceptible
287.8534,Resistant
287.27222,Susceptible
287.10287,Susceptible
287.19434,Susceptible
287.28316,Susceptible
287.25266,Resistant
287.17504,Susceptible
287.17033,Susceptible
287.1137,Susceptible
287.18604,Resistant
287.11125,Susceptible
287.19515,Susceptible
287.28326,Susceptible
287.17884,Resistant
287.19187,Susceptible
287.14483,Susceptible
287.13327,Resistant
287.14809,Resistant
287.9039,Susceptible
287.34081,Resistant
287.405,Resistant
287.19403,Susceptible
287.32608,Susceptible
287.17821,Resistant
287.27776,Resistant
287.31655,Resistant
287.9479,Resistant
287.12748,Resistant
287.6918,Susceptible
287.2942,Susceptible
287.34385,Susceptible
287.25982,Resistant
287.19171,Resistant
287.6437,Resistant
287.10417,Resistant
287.13282,Susceptible
287.78,Susceptible
287.7627,Susceptible
287.25727,Susceptible
287.34387,Resistant
287.8511,Resistant
287.32969,Susceptible
287.18687,Susceptible
287.17985,Resistant
287.9214,Susceptible
287.25254,Resistant
287.298,Resistant
287.7285,Susceptible
287.8539,Susceptible
287.1237,Resistant
287.30226,Susceptible
287.30289,Susceptible
208963.54,Susceptible
287.10046,Susceptible
287.25709,Susceptible
287.9873,Resistant
287.893,Resistant
287.3023,Susceptible
287.19409,Susceptible
287.7519,Susceptible
287.26052,Susceptible
287.17688,Susceptible
287.30312,Susceptible
287.12116,Resistant
287.7056,Susceptible
287.9783,Susceptible
287.4092,Resistant
287.13283,Resistant
287.6374,Susceptible
287.2524,Susceptible
287.19556,Susceptible
287.177,Susceptible
287.7839,Susceptible
287.34251,Resistant
287.17941,Susceptible
287.5753,Susceptible
287.7778,Resistant
287.19655,Resistant
287.32529,Susceptible
287.24739,Resistant
287.945,Resistant
287.19223,Susceptible
287.11581,Susceptible
287.34346,Susceptible
287.9299,Susceptible
287.12704,Resistant
287.5967,Resistant
287.15878,Resistant
287.15728,Susceptible
287.10148,Resistant
287.29226,Resistant
287.4437,Susceptible
287.7496,Resistant
287.2642,Resistant
287.29823,Susceptible
287.19395,Susceptible
287.436,Susceptible
287.7801,Susceptible
287.27281,Susceptible
287.16818,Resistant
287.33631,Resistant
287.29645,Susceptible
287.14764,Resistant
287.7628,Susceptible
287.6954,Susceptible
287.18338,Resistant
287.1101,Susceptible
287.853,Resistant
287.4317,Susceptible
287.7078,Susceptible
287.19374,Susceptible
287.18614,Susceptible
287.25731,Susceptible
287.195,Susceptible
287.10043,Susceptible
287.31718,Resistant
287.9922,Resistant
287.8941,Susceptible
287.19531,Susceptible
287.34064,Susceptible
287.28406,Susceptible
287.18347,Resistant
287.12682,Susceptible
287.17982,Resistant
287.16534,Resistant
287.34311,Resistant
287.6521,Susceptible
287.34065,Susceptible
287.9411,Susceptible
287.2707,Susceptible
287.27106,Resistant
287.8495,Susceptible
652611.63,Susceptible
287.7953,Resistant
287.1116,Susceptible
287.9481,Resistant
287.6921,Susceptible
287.271,Resistant
287.3715,Resistant
287.17842,Resistant
287.29815,Susceptible
287.12059,Resistant
287.18434,Resistant
287.27256,Resistant
287.7478,Resistant
287.25789,Resistant
287.1195,Resistant
287.19148,Resistant
287.1202,Susceptible
287.8546,Resistant
287.18058,Resistant
287.16986,Susceptible
287.29235,Susceptible
287.1283,Susceptible
287.31755,Susceptible
287.34391,Resistant
287.8504,Susceptible
287.2526,Resistant
287.27748,Susceptible
287.4561,Susceptible
287.18317,Resistant
287.17656,Resistant
287.7917,Susceptible
287.6457,Resistant
287.7987,Susceptible
287.29764,Susceptible
287.14492,Resistant
287.15723,Susceptible
287.32497,Resistant
287.19236,Resistant
287.8541,Susceptible
287.17022,Susceptible
287.14283,Resistant
287.33811,Susceptible
287.34083,Susceptible
287.24983,Resistant
287.27267,Resistant
287.12832,Susceptible
287.4376,Susceptible
287.9838,Susceptible
287.26022,Resistant
287.19669,Susceptible
287.2981,Susceptible
287.181,Susceptible
287.6968,Resistant
287.6974,Resistant
287.6999,Susceptible
287.11582,Susceptible
287.18362,Resistant
287.31416,Resistant
287.848,Susceptible
287.1228,Susceptible
287.33611,Resistant
287.9868,Susceptible
287.869,Susceptible
287.11547,Resistant
287.3136,Resistant
287.33617,Susceptible
287.4337,Susceptible
287.27277,Resistant
287.4275,Susceptible
287.7298,Susceptible
287.4541,Susceptible
287.7872,Susceptible
287.27076,Resistant
287.10011,Resistant
287.7323,Susceptible
287.10273,Susceptible
287.4449,Susceptible
287.17456,Susceptible
287.32611,Susceptible
287.34283,Resistant
287.5773,Susceptible
287.8521,Resistant
287.33362,Resistant
287.26428,Susceptible
287.778,Resistant
287.1197,Susceptible
287.31669,Resistant
287.5965,Resistant
287.3025,Resistant
287.7693,Susceptible
287.27058,Susceptible
287.10045,Resistant
287.18461,Susceptible
287.9011,Resistant
287.4071,Resistant
287.1248,Susceptible
287.9242,Resistant
287.11548,Resistant
287.9547,Susceptible
287.31179,Susceptible
287.17599,Susceptible
287.18075,Susceptible
287.11538,Resistant
287.854,Susceptible
287.4045,Resistant
287.18464,Susceptible
287.19453,Susceptible
287.2706,Resistant
287.929,Susceptible
287.1025,Susceptible
287.1406,Susceptible
287.26026,Resistant
287.31582,Susceptible
287.28384,Resistant
287.737,Resistant
287.14785,Susceptible
287.4039,Resistant
287.18494,Resistant
287.33718,Susceptible
287.14439,Resistant
1418242.3,Susceptible
287.10396,Resistant
287.10573,Resistant
287.7436,Susceptible
287.11939,Susceptible
287.784,Resistant
287.932,Resistant
287.31475,Resistant
287.16882,Resistant
287.636,Resistant
287.7624,Susceptible
287.25801,Susceptible
287.684,Resistant
287.8948,Resistant
287.10006,Resistant
287.8493,Resistant
287.10432,Susceptible
287.26094,Susceptible
287.1015,Susceptible
287.13731,Susceptible
287.4089,Resistant
287.8001,Susceptible
287.8497,Susceptible
287.18028,Resistant
287.11992,Susceptible
287.3436,Resistant
287.1574,Susceptible
287.11065,Resistant
287.7828,Susceptible
287.30244,Resistant
287.18013,Susceptible
287.8908,Susceptible
287.13281,Susceptible
287.12717,Susceptible
287.7785,Resistant
287.11576,Resistant
287.17849,Resistant
287.31182,Susceptible
287.14727,Resistant
287.17057,Susceptible
287.28361,Resistant
287.999,Susceptible
287.12459,Resistant
287.30251,Susceptible
287.4377,Susceptible
287.6406,Susceptible
1402517.3,Resistant
287.1861,Susceptible
287.7487,Resistant
287.2976,Resistant
287.31359,Resistant
287.9265,Resistant
287.17547,Resistant
1418240.3,Susceptible
287.17055,Susceptible
287.25923,Resistant
287.3024,Resistant
287.6936,Susceptible
208964.385,Susceptible
287.10015,Susceptible
287.24702,Susceptible
287.923,Resistant
287.31489,Susceptible
287.9096,Susceptible
287.3433,Susceptible
287.17466,Resistant
287.4457,Susceptible
287.878,Resistant
287.34014,Susceptible
287.19441,Resistant
287.34024,Resistant
287.8896,Susceptible
287.25719,Susceptible
287.26056,Susceptible
287.15913,Susceptible
287.24569,Resistant
287.9154,Susceptible
287.6894,Susceptible
287.3141,Susceptible
287.15895,Resistant
287.26547,Susceptible
287.9003,Resistant
287.9237,Resistant
287.25255,Resistant
287.8924,Susceptible
287.25742,Susceptible
287.27245,Resistant
287.12733,Resistant
287.9882,Resistant
287.4393,Susceptible
287.16571,Susceptible
287.27715,Resistant
287.9027,Susceptible
287.12577,Resistant
287.34015,Susceptible
287.11914,Susceptible
287.14285,Resistant
287.17017,Resistant
1437873.4,Resistant
287.19363,Resistant
287.7771,Resistant
287.13289,Resistant
287.7842,Resistant
287.28322,Susceptible
287.12774,Resistant
287.25931,Susceptible
287.31357,Susceptible
287.1918,Resistant
287.3428,Resistant
287.7681,Susceptible
287.10058,Resistant
287.766,Susceptible
287.29718,Resistant
287.9601,Resistant
287.28331,Resistant
287.13323,Resistant
287.31479,Susceptible
287.17944,Resistant
287.13702,Susceptible
287.24751,Resistant
287.2729,Susceptible
287.29752,Resistant
287.1099,Susceptible
287.19514,Resistant
287.337,Susceptible
287.7492,Resistant
287.34316,Resistant
287.9174,Resistant
287.1765,Resistant
287.19657,Susceptible
287.7424,Susceptible
287.29798,Susceptible
287.18545,Resistant
287.3146,Resistant
287.14496,Resistant
287.7566,Susceptible
287.18606,Resistant
287.12544,Susceptible
287.28302,Susceptible
287.8416,Resistant
287.17497,Resistant
287.31153,Susceptible
287.27047,Susceptible
287.29774,Susceptible
287.17828,Resistant
287.6878,Susceptible
287.3921,Resistant
287.27759,Susceptible
287.24598,Resistant
287.9776,Susceptible
287.31724,Resistant
287.10142,Susceptible
287.951,Resistant
287.25211,Susceptible
287.17926,Resistant
287.16958,Susceptible
287.25796,Susceptible
287.17838,Resistant
287.26448,Resistant
287.951,Resistant
287.12685,Susceptible
287.26416,Susceptible
287.97,Susceptible
287.7458,Resistant
1402531.3,Susceptible
287.1111,Resistant
287.17866,Susceptible
287.7391,Resistant
287.11771,Susceptible
1447532.3,Susceptible
287.26409,Resistant
287.9859,Susceptible
287.11583,Susceptible
287.17491,Resistant
287.17882,Resistant
287.17988,Resistant
287.25895,Susceptible
287.17048,Resistant
287.13715,Resistant
287.24753,Susceptible
287.34371,Susceptible
287.7829,Susceptible
287.867,Resistant
287.6446,Resistant
287.16923,Susceptible
287.7887,Susceptible
287.15883,Susceptible
287.17605,Susceptible
287.3426,Resistant
287.7428,Susceptible
287.877,Susceptible
287.33006,Resistant
287.101,Resistant
287.17604,Resistant
287.10421,Resistant
287.12483,Resistant
287.2591,Resistant
287.11933,Resistant
287.6966,Susceptible
